연령군,성별,연령구간,항목코드,항목,n,p5,p10,p25,p50,p75,p90,p95,평균,표준편차
성장기,F,12,item_f028,상대악력,1564,28.2,31.6,37.0,42.9,49.3,54.3,57.4,43.05,9.01
성장기,F,13,item_f028,상대악력,3723,30.8,34.1,38.5,44.5,51.1,56.7,60.2,44.98,9.04
성장기,F,14,item_f028,상대악력,2681,30.0,33.5,39.0,45.2,51.3,57.3,61.0,45.31,9.33
성장기,F,15,item_f028,상대악력,3854,30.3,33.7,39.0,44.7,50.9,57.2,60.6,45.12,9.28
성장기,F,16,item_f028,상대악력,4310,31.0,33.8,39.2,45.4,51.5,57.2,61.05,45.56,9.36
성장기,F,17,item_f028,상대악력,3914,30.9,33.93,39.1,45.4,51.77,57.5,60.83,45.61,9.24
성장기,F,18,item_f028,상대악력,2012,30.96,34.1,40.2,46.1,52.4,57.7,61.8,46.29,9.49
성장기,F,11,item_f001,신장,3202,136.2,138.8,143.7,148.9,153.8,157.7,160.0,148.59,7.39
성장기,F,12,item_f001,신장,1564,145.9,147.9,151.6,155.75,159.6,163.17,165.38,155.66,5.99
성장기,F,13,item_f001,신장,3724,149.0,151.0,154.2,157.85,161.62,165.2,167.3,157.93,5.68
성장기,F,14,item_f001,신장,2681,151.4,153.3,156.1,159.6,163.1,167.0,168.9,159.85,5.38
성장기,F,15,item_f001,신장,3856,152.2,153.9,156.8,160.4,164.0,167.5,169.43,160.51,5.43
성장기,F,16,item_f001,신장,4311,152.0,154.0,157.0,160.7,164.3,167.7,169.5,160.72,5.33
성장기,F,17,item_f001,신장,3917,152.2,154.1,157.4,161.0,164.6,168.0,170.2,161.04,5.56
성장기,F,18,item_f001,신장,2012,152.66,154.5,157.7,161.35,165.3,168.59,170.8,161.52,5.54
