연령군,성별,연령구간,항목코드,항목,n,p5,p10,p25,p50,p75,p90,p95,평균,표준편차
어르신,F,65~69,item_f024,6분걷기,185,0.0,44.24,515.0,575.0,625.0,651.2,670.0,516.85,190.17
어르신,F,70~74,item_f024,6분걷기,89,0.0,304.8,505.0,550.0,595.0,650.2,669.2,503.58,177.71
어르신,F,75~79,item_f024,6분걷기,33,0.0,1.0,409.0,495.0,544.0,569.0,603.4,416.95,206.61
어르신,F,65~69,item_f027,8자보행,4117,17.36,18.67,20.7,23.2,26.1,29.12,31.72,23.69,4.95
어르신,F,70~74,item_f027,8자보행,3411,18.56,20.05,22.41,25.4,29.0,33.16,36.17,26.22,6.11
어르신,F,75~79,item_f027,8자보행,2306,20.83,22.1,24.9,28.38,33.0,40.0,44.77,29.88,7.72
어르신,F,80+,item_f027,8자보행,1521,23.0,24.91,28.26,33.32,40.28,50.31,57.91,35.53,10.14
어르신,F,65~69,item_f018,BMI,4136,19.9,20.7,22.3,24.2,26.2,28.3,29.9,24.4,3.08
어르신,F,70~74,item_f018,BMI,3446,19.9,21.0,22.5,24.5,26.5,28.6,30.1,24.63,3.08
어르신,F,75~79,item_f018,BMI,2367,19.9,21.1,22.7,24.8,26.8,29.14,30.4,24.9,3.17
어르신,F,80+,item_f018,BMI,1553,19.7,20.7,22.6,24.6,27.0,29.08,30.3,24.86,3.37
어르신,F,65~69,item_f028,상대악력,4139,27.4,30.4,35.2,40.4,45.5,50.6,53.8,40.52,8.0
어르신,F,70~74,item_f028,상대악력,3447,25.7,28.7,33.2,38.5,43.9,48.8,51.9,38.69,8.06
어르신,F,75~79,item_f028,상대악력,2366,22.5,25.6,30.9,36.3,41.6,46.6,50.1,36.35,8.22
어르신,F,80+,item_f028,상대악력,1553,20.7,21.62,27.4,33.4,39.0,44.2,47.4,33.56,8.34
어르신,F,65~69,item_f001,신장,4139,146.29,148.0,151.0,154.3,157.8,160.7,162.4,154.32,5.06
어르신,F,70~74,item_f001,신장,3448,144.9,146.7,149.8,153.0,156.6,159.8,161.6,153.14,5.14
어르신,F,75~79,item_f001,신장,2367,142.3,144.5,148.0,151.6,155.0,158.0,160.27,151.43,5.38
어르신,F,80+,item_f001,신장,1553,139.96,142.0,145.3,149.0,153.0,156.58,158.84,149.15,5.85
어르신,F,65~69,item_f008,악력(우),4134,15.37,17.2,20.0,22.9,25.7,28.2,29.9,22.75,4.46
어르신,F,70~74,item_f008,악력(우),3444,14.0,15.9,18.6,21.6,24.4,26.9,28.8,21.49,4.56
어르신,F,75~79,item_f008,악력(우),2360,11.9,13.7,17.0,20.0,22.9,25.3,26.9,19.83,4.58
